Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-09-01,29.3472,29.3472,28.6122,28.6489,876.120358477
2023-09-04,28.6673,28.9797,28.6489,28.7959,638.8604353118
2023-09-05,28.6857,28.9797,28.5387,28.9429,1267.925736181
2023-09-06,28.9981,28.9981,28.4835,28.7592,4692.9577462768
2023-09-07,28.5938,29.4024,26.8664,29.3656,14380.345710008
2023-09-08,29.3656,29.4024,29.1267,29.1267,1014.3405889448
2023-09-11,28.6857,30.0455,28.6857,29.9536,6514.8527526004
2023-09-12,29.9536,30.0823,29.5126,30.0639,2560.8834826042
2023-09-13,30.0823,30.1374,29.5677,30.0272,799.935979479
2023-09-14,30.0272,30.2293,29.8066,30.2293,883.7387963768
2023-09-15,30.1374,30.4314,30.0455,30.4314,4667.9257360346
2023-09-18,30.4314,30.6887,30.1374,30.3579,2307.298335368
2023-09-19,30.5601,31.0562,30.3396,30.5784,19255.057617609
2023-09-20,30.5049,31.3686,30.5049,30.9644,15902.944941697
2023-09-21,30.9644,31.1481,30.3028,30.5049,1191.741357183
2023-09-22,30.3212,31.1297,30.3028,30.5049,639.9487835832
2023-09-25,30.7806,30.7806,29.531,30.0639,4131.3700382344
2023-09-26,29.5677,30.2293,29.5677,29.7883,74705.313697167
2023-09-27,30.2293,30.7622,29.8801,30.652,113054.35338822
2023-09-28,30.652,30.6703,29.9904,30.1374,1364.7887323356
2023-09-29,30.4131,30.6703,29.2186,30.3212,109513.95646135
2023-10-02,30.3212,30.6887,29.8434,29.9169,761.84378998
2023-10-03,29.9353,30.4866,29.9353,30.2293,255.761843779
2023-10-04,30.1374,30.266,28.704,29.8801,5517.925735998
2023-10-05,29.8801,30.3212,29.8801,30.3028,22806.338027187
2023-10-06,30.3212,30.3212,29.6964,30.2109,33933.610753981
2023-10-09,30.3763,30.3763,29.7883,30.3028,121320.3585095
2023-10-10,30.0455,30.3028,29.8985,29.9536,82403.20102078
2023-10-11,29.9536,30.2477,29.8985,30.2109,19812.291932566
2023-10-12,30.2109,30.2109,29.8985,29.9536,44086.811777871
2023-10-13,29.8985,30.1925,29.8985,29.8985,109634.76311948
2023-10-16,29.9353,30.1925,29.6964,30.1742,109943.85402856
2023-10-17,30.1742,30.8541,29.7699,30.8541,7996.0947499758
2023-10-18,30.8725,31.093,30.5049,30.946,1989.5006401192
2023-10-19,30.6152,30.8908,30.4866,30.8908,4181.4340587188
2023-10-20,30.8908,30.8908,30.6152,30.8908,1912.2279128498
2023-10-23,31.0379,31.0379,30.2293,30.8725,842.3815620636
2023-10-24,30.8725,31.0379,30.7071,30.8725,62529.961585016
2023-10-25,30.5233,30.9276,30.3212,30.3763,112851.92060974
2023-10-26,30.4682,30.8725,30.3212,30.3212,807.5544173788
2023-10-27,30.3212,31.24,30.3212,30.799,15318.501919955
2023-10-30,31.1114,31.1114,30.4131,31.0011,3217.1574902584
2023-10-31,31.0011,31.0011,30.5233,30.6703,1148.207426327
2023-11-02,30.7806,30.9644,30.7622,30.8173,4558.0025606232
2023-11-03,30.9644,31.24,30.7806,31.2216,1866.517285451
2023-11-06,31.2216,31.3135,31.1297,31.1297,12273.303456578
2023-11-07,31.1481,31.6075,30.9644,31.5156,9307.5544170128
2023-11-08,31.4238,31.4238,31.1114,31.1114,1042.6376440012
2023-11-09,31.2216,31.5892,30.8725,30.9092,1508.4507041604
2023-11-10,31.1481,31.1849,30.6887,30.6887,20129.001279543
2023-11-13,30.799,30.946,30.4682,30.4682,10579.833546279
