Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-01-02,1205.1,1230.63,1204.8,1222.44
2014-01-03,1225.55,1240.18,1225.55,1237.11
2014-01-06,1233.99,1248.18,1213.11,1237.5
2014-01-07,1238.16,1245.29,1225.01,1231.63
2014-01-08,1229.01,1231.73,1218.53,1225.48
2014-01-09,1225.44,1231.15,1223.37,1227.52
2014-01-10,1227.78,1248.67,1227.06,1247
2014-01-13,1248.35,1255.06,1243.47,1252.78
2014-01-14,1253.32,1254.33,1241.52,1244.77
2014-01-15,1243.9,1244.09,1234.33,1241.73
2014-01-16,1240.78,1245.27,1236.36,1241.77
2014-01-17,1243.15,1254.87,1237.82,1253.87
2014-01-20,1257.6,1258.19,1252.25,1252.25
2014-01-21,1253.54,1254.42,1235.6,1241.23
2014-01-22,1243.06,1243.64,1235.85,1236.98
2014-01-23,1233.12,1265.25,1231.38,1263.23
2014-01-24,1261.6,1272.57,1256.97,1268.39
2014-01-27,1274.61,1275,1252.03,1256.94
2014-01-28,1257.23,1261.39,1249.05,1256.25
2014-01-29,1252.84,1270.09,1250.76,1267.05
2014-01-30,1266.81,1267.64,1238.09,1243.05
2014-01-31,1243.99,1254.73,1238.35,1244.75
2014-02-03,1243.9,1266.07,1240.82,1257.6
2014-02-04,1257.5,1260.99,1247.11,1254.27
2014-02-05,1253.24,1274.12,1252.35,1257.46
2014-02-06,1258.05,1266.68,1252.84,1257.57
2014-02-07,1256.66,1271.61,1256.43,1266.94
2014-02-10,1265.72,1277.65,1265.07,1274.45
2014-02-11,1275.01,1293.65,1274.26,1290.75
2014-02-12,1285.39,1296.08,1283.98,1290.52
2014-02-13,1292.65,1302.76,1286.3,1302.12
2014-02-14,1301.85,1321.02,1301.1,1318.57
2014-02-17,1322.41,1329.83,1320.82,1328.28
2014-02-18,1327.53,1328.48,1312.4,1321.48
2014-02-19,1320.53,1322.38,1308.85,1311.44
2014-02-20,1313.19,1324.79,1307.37,1322.78
2014-02-21,1319.55,1328.32,1316.12,1323.58
2014-02-24,1324.6,1339.16,1318.82,1336.67
2014-02-25,1335.79,1343.42,1331.37,1340.52
2014-02-26,1340.19,1345.24,1322.13,1330.35
2014-02-27,1330.68,1335.95,1323.76,1331.26
2014-02-28,1330.97,1333.15,1319.46,1323.58
2014-03-03,1341.9,1354.53,1338.54,1350.46
2014-03-04,1348.96,1352.36,1331.28,1334.28
2014-03-05,1334.74,1341.75,1332.5,1336.77
2014-03-06,1337.15,1353.35,1331.08,1350.53
2014-03-07,1347.7,1352.73,1328.43,1338.98
2014-03-10,1336.41,1344.4,1327.81,1339.83
2014-03-11,1339.33,1352.35,1337.67,1348.47
2014-03-12,1346.69,1370.62,1345.75,1366.6
2014-03-13,1365.98,1374.77,1364.4,1370.86
2014-03-14,1375.19,1387.72,1367.79,1381.2
2014-03-17,1388.08,1388.34,1361.93,1365.67
2014-03-18,1366.98,1367.57,1350.68,1356.77
2014-03-19,1357.24,1359.66,1327.69,1330.08
2014-03-20,1328.51,1334.49,1320.29,1329.68
