Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-01-02,715.25,729.25,715.25,725.25
2014-01-03,728.25,730.25,722.75,724.75
2014-01-06,731.83,739.5,727.61,738.49
2014-01-07,739.72,744.89,734.33,742.56
2014-01-08,741.08,742.4,733.6,736.88
2014-01-09,737.5,740.9,735.1,736.9
2014-01-10,737.38,745.8,735.15,744.55
2014-01-13,743.75,743.75,734.75,738.75
2014-01-14,739.25,739.25,732.75,734.75
2014-01-15,735.75,744.75,731.75,740.25
2014-01-16,740.5,743.25,735.25,739.75
2014-01-17,740,750.75,738.75,744.25
2014-01-20,747.75,749.75,743.5,747
2014-01-21,745.25,747.25,738.75,745.25
2014-01-22,745.75,747.25,740.75,744.25
2014-01-23,743.25,746,740,742
2014-01-24,743,746,731,732.5
2014-01-27,733.75,734.75,719.75,720.25
2014-01-28,719.25,722.75,712.25,714.25
2014-01-29,713.25,721.25,707.25,713.5
2014-01-30,715.25,716.25,703.75,705.25
2014-01-31,705.75,707.25,698.75,702.25
2014-02-03,700.25,711.75,698.75,699.25
2014-02-04,700.25,702.75,694.25,699.25
2014-02-05,700.75,715.25,700.75,706.75
2014-02-06,705.75,714.25,705.75,708.25
2014-02-07,708.25,713.25,706.75,708.25
2014-02-10,707.75,721.25,707.75,715.75
2014-02-11,714.25,721.75,714.25,716.25
2014-02-12,716.75,727.75,716.25,725.75
2014-02-13,726.75,730.25,721.25,730.25
2014-02-14,728.75,738.75,728.75,734.75
2014-02-17,738.75,740.25,734.75,738.75
2014-02-18,738.25,738.75,727.75,734.25
2014-02-19,736.5,738.25,730.25,730.75
2014-02-20,731.5,735.75,726.75,735.25
2014-02-21,734.5,739.75,733,738.25
2014-02-24,737.5,741.75,733,739.25
2014-02-25,739,741.5,731.75,732.25
2014-02-26,734.5,735.25,725.25,728.75
2014-02-27,728,743.75,724.75,740.75
2014-02-28,740.5,744.25,737.75,741.25
2014-03-03,745.5,747.5,741,746
2014-03-04,746.5,762.25,742.25,760.75
2014-03-05,760.25,777.75,759.75,769.25
2014-03-06,770.75,780.75,768.75,778.75
2014-03-07,779.25,780.75,769,778.25
2014-03-10,777.75,777.75,769.25,773.5
2014-03-11,772.75,776.75,762.75,767
2014-03-12,763.25,775.75,759.25,773
2014-03-13,771.25,777.25,769.25,773.5
2014-03-14,776.25,784.25,765.75,770.75
2014-03-17,772.75,777.75,767.25,770
2014-03-18,770.5,772,756.75,765
2014-03-19,766.51,770.75,759.75,760.75
2014-03-20,762.75,769.75,744.75,767
2014-03-21,765.5,796.75,765.5,791.5
2014-03-24,791.5,798.25,779.75,792.75
2014-03-25,791.75,794.25,780.75,784.5
2014-03-26,784.75,784.75,771.75,779.25
2014-03-27,777.75,777.75,754.25,755.5
2014-03-28,761,772.5,757.5,772
2014-03-31,770.75,777.75,769.25,771.75
2014-04-01,772.75,779.75,764.25,777.75
2014-04-02,777.25,787.75,775.25,784.25
2014-04-03,785,789.5,779.75,785.25
2014-04-04,785,789.25,780.75,786.75
2014-04-07,787.5,788.5,758.75,765.25
2014-04-08,764.5,776.75,764,773.75
2014-04-09,774.5,781.75,771.75,779.25
2014-04-10,779.5,791.5,777.75,788
2014-04-11,787.5,807.25,782.75,802.25
2014-04-14,809,813.75,807,808.75
2014-04-15,806.18,806.18,784.25,791.75
2014-04-16,791.75,801.25,787.75,799.25
2014-04-17,799.25,806.25,792,794
2014-04-21,795.5,796,766,778
2014-04-22,778,786.25,776.75,781.75
2014-04-23,782.5,784.75,780.75,784.25
2014-04-24,783.75,802.25,775.75,799
2014-04-25,799,809.75,797.75,806.75
2014-04-28,807.25,810.75,794.25,799.75
2014-04-29,799,807.25,793.25,803.75
2014-04-30,804,810.25,796.75,807.25
2014-05-01,807.75,816.75,804.25,811.25
2014-05-02,812.25,816.5,805.75,809.25
2014-05-05,810.13,815.75,807.25,814.75
2014-05-06,814.25,817.75,810.25,815.25
2014-05-07,813.5,815.75,793.25,794.75
2014-05-08,794.75,804.75,794.75,802.75
2014-05-09,802.25,804.25,795.75,798.75
2014-05-12,798,806.75,795,803.75
2014-05-13,803.25,816.25,801.25,814.25
2014-05-14,813.5,826.25,812.75,824.75
2014-05-15,824.72,824.72,807.75,809.25
2014-05-16,811.75,815.75,803.75,813.25
