Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-01-02,1372.4,1403.5,1368.8,1397.8
2014-01-03,1400.8,1415.3,1398.8,1407.8
2014-01-06,1393.3,1420.8,1392.8,1413.5
2014-01-07,1411.7,1418.5,1404,1414.5
2014-01-08,1410.3,1416.5,1400.8,1415.3
2014-01-09,1410,1422,1408,1415.5
2014-01-10,1412.6,1434,1411.5,1431.4
2014-01-13,1432.8,1440.3,1428.3,1438.3
2014-01-14,1441.8,1442.8,1420.3,1425
2014-01-15,1422.3,1427.3,1409.8,1427
2014-01-16,1426.6,1431,1412.8,1431
2014-01-17,1428.5,1453.8,1427.3,1450.3
2014-01-20,1455.3,1469.5,1453.3,1464
2014-01-21,1462.3,1464.8,1432.3,1448.5
2014-01-22,1453.8,1461.8,1442.8,1453.8
2014-01-23,1449.8,1466.8,1436.8,1452.5
2014-01-24,1452.7,1458,1418,1422.2
2014-01-27,1430.8,1436.3,1403.3,1408.5
2014-01-28,1416.3,1421.3,1400.3,1405.2
2014-01-29,1406.8,1416.8,1400.3,1409.2
2014-01-30,1411.3,1411.8,1375.8,1377.8
2014-01-31,1382.3,1385.8,1360.8,1375.3
2014-02-03,1373.3,1394.3,1370.8,1381.4
2014-02-04,1382.3,1382.3,1356.8,1368.7
2014-02-05,1373,1391.3,1369.8,1376.5
2014-02-06,1380.8,1382.8,1366.8,1371.3
2014-02-07,1373.3,1387,1371.8,1381
2014-02-10,1378.8,1391.3,1375.8,1383.6
2014-02-11,1381.3,1392.3,1375.8,1383.3
2014-02-12,1381.8,1406.3,1381.3,1402
2014-02-13,1404.7,1415.8,1390.3,1412.5
2014-02-14,1412.5,1427.8,1408.3,1423.8
2014-02-17,1426.3,1432.8,1418.3,1427.3
2014-02-18,1427.8,1427.8,1412.3,1420.3
2014-02-19,1420,1426.3,1407.3,1412.8
2014-02-20,1411.5,1416.3,1402.3,1415
2014-02-21,1415.2,1428.3,1410.5,1426.8
2014-02-24,1426,1440.8,1416.3,1437
2014-02-25,1432.2,1441.8,1420.8,1434.3
2014-02-26,1434,1437.8,1420.3,1427
2014-02-27,1426,1451.8,1415.8,1450.5
2014-02-28,1445.5,1454.3,1437.3,1443.8
