<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,5,20241118,090000,52.78,53.17,52.78,53.1,32534,0
PKN,5,20241118,090500,53.05,53.1,52.75,52.93,13106,0
PKN,5,20241118,091000,52.89,52.89,52.71,52.82,5826,0
PKN,5,20241118,091500,52.86,53,52.83,52.91,8065,0
PKN,5,20241118,092000,52.93,53.24,52.88,53.05,34601,0
PKN,5,20241118,092500,53.05,53.1,52.93,52.93,5850,0
PKN,5,20241118,093000,53,53,52.91,52.94,10591,0
PKN,5,20241118,093500,52.94,52.95,52.77,52.79,25259,0
PKN,5,20241118,094000,52.79,52.83,52.54,52.55,13052,0
PKN,5,20241118,094500,52.54,52.6,52.46,52.53,19605,0
PKN,5,20241118,095000,52.55,52.58,52.49,52.55,12334,0
PKN,5,20241118,095500,52.57,52.66,52.54,52.62,16319,0
PKN,5,20241118,100000,52.66,52.66,52.26,52.33,24829,0
PKN,5,20241118,100500,52.31,52.31,52.13,52.19,17640,0
PKN,5,20241118,101000,52.25,52.46,52.22,52.31,16758,0
PKN,5,20241118,101500,52.34,52.44,52.25,52.32,8124,0
PKN,5,20241118,102000,52.31,52.35,52.2,52.27,14009,0
PKN,5,20241118,102500,52.27,52.47,52.27,52.45,4480,0
PKN,5,20241118,103000,52.41,52.5,52.4,52.46,9223,0
PKN,5,20241118,103500,52.48,52.5,52.37,52.37,8700,0
PKN,5,20241118,104000,52.37,52.46,52.37,52.46,11331,0
PKN,5,20241118,104500,52.46,52.67,52.4,52.67,15279,0
PKN,5,20241118,105000,52.66,52.72,52.65,52.67,5351,0
PKN,5,20241118,105500,52.65,52.68,52.55,52.65,6080,0
PKN,5,20241118,110000,52.65,52.69,52.63,52.65,4126,0
PKN,5,20241118,110500,52.64,52.69,52.59,52.69,13453,0
PKN,5,20241118,111000,52.7,52.87,52.7,52.82,13761,0
PKN,5,20241118,111500,52.82,52.96,52.81,52.84,11787,0
PKN,5,20241118,112000,52.83,52.89,52.8,52.83,3633,0
PKN,5,20241118,112500,52.82,52.89,52.8,52.84,6297,0
PKN,5,20241118,113000,52.87,52.91,52.8,52.89,16625,0
PKN,5,20241118,113500,52.89,52.99,52.88,52.96,8107,0
PKN,5,20241118,114000,52.94,53.1,52.94,53.02,28014,0
PKN,5,20241118,114500,53.03,53.03,52.91,52.94,14504,0
PKN,5,20241118,115000,52.99,53,52.92,52.95,2674,0
PKN,5,20241118,115500,52.93,53,52.9,52.93,22921,0
PKN,5,20241118,120000,52.94,52.94,52.81,52.82,11760,0
PKN,5,20241118,120500,52.82,52.88,52.79,52.79,14957,0
PKN,5,20241118,121000,52.79,52.85,52.71,52.83,16190,0
PKN,5,20241118,121500,52.83,52.84,52.66,52.72,8162,0
PKN,5,20241118,122000,52.76,52.85,52.76,52.79,11024,0
PKN,5,20241118,122500,52.8,52.8,52.57,52.57,22522,0
PKN,5,20241118,123000,52.56,52.59,52.52,52.56,14071,0
PKN,5,20241118,123500,52.52,52.54,52.4,52.46,9317,0
PKN,5,20241118,124000,52.45,52.5,52.42,52.46,8180,0
PKN,5,20241118,124500,52.46,52.6,52.46,52.53,6785,0
PKN,5,20241118,125000,52.53,52.61,52.53,52.61,4543,0
PKN,5,20241118,125500,52.61,52.67,52.6,52.66,2438,0
PKN,5,20241118,130000,52.66,52.72,52.62,52.72,5937,0
PKN,5,20241118,130500,52.71,52.81,52.71,52.8,16619,0
PKN,5,20241118,131000,52.8,52.85,52.74,52.74,3768,0
PKN,5,20241118,131500,52.71,52.84,52.71,52.78,6777,0
PKN,5,20241118,132000,52.78,52.85,52.78,52.85,8661,0
PKN,5,20241118,132500,52.84,52.84,52.75,52.8,14086,0
PKN,5,20241118,133000,52.77,52.8,52.76,52.78,6759,0
PKN,5,20241118,133500,52.77,52.9,52.74,52.88,32855,0
PKN,5,20241118,134000,52.88,52.88,52.76,52.79,8765,0
PKN,5,20241118,134500,52.79,52.93,52.79,52.89,23728,0
PKN,5,20241118,135000,52.87,52.9,52.84,52.85,12319,0
PKN,5,20241118,135500,52.85,52.92,52.84,52.84,15082,0
PKN,5,20241118,140000,52.86,52.88,52.78,52.79,15400,0
PKN,5,20241118,140500,52.77,52.88,52.75,52.88,10939,0
PKN,5,20241118,141000,52.88,52.9,52.83,52.86,43099,0
PKN,5,20241118,141500,52.86,52.9,52.78,52.8,13861,0
PKN,5,20241118,142000,52.78,52.79,52.75,52.75,3427,0
PKN,5,20241118,142500,52.74,52.84,52.74,52.84,13607,0
PKN,5,20241118,143000,52.82,52.88,52.78,52.87,8521,0
PKN,5,20241118,143500,52.87,52.9,52.84,52.86,7516,0
PKN,5,20241118,144000,52.88,52.89,52.83,52.87,11103,0
PKN,5,20241118,144500,52.87,52.93,52.85,52.89,11672,0
